bike_name,full_price,club_price,bike_class
Cube Stereo Hybrid 120 Pro 625 Electric Mountain Bike Flash Grey 'n' Orange,"6,799.00","4,999.00",mountain
Merida Matts 6.5 V Women's Mountain Bike Glossy Teal Blue/Black,599.00,487.00,mountain
Norco Storm 1 29 Mountain Bike Red/Red,"1,399.00","1,038.00",mountain
"Silverback Stride Delight Hardtail Mountain Bike 29"" Satin Grey Charcoal",769.00,586.00,mountain
"Silverback Splash Delight Women's 27"" Hardtail Mountain Bike Blue/Royal Dark Blue",829.00,586.00,mountain
Merida One-Forty 700 Dual Suspension Mountain Bike Metallic Teal/Black,"4,599.00","3,299.00",mountain
Merida One-Sixty 500 Dual Suspension Mountain Bike Gunmetal Grey/White,"3,999.00","2,727.00",mountain
Cube Stereo ONE55 C:62 SLX 29 Full Suspension Mountain Bike Bondi Blue 'n' Grey,"7,199.00","5,397.00",mountain
Merida One-Sixty 700 Silk Bronze/Black/White,"4,999.00","3,697.00",mountain
Merida One-Twenty 300 Dual Suspension Mountain Bike Silk Cool Grey Black/Silver,"2,599.00","2,197.00",mountain
Merida One-Twenty 300 Dual Suspension Mountain Bike Silk Steel Blue/Blue/Lime,"2,599.00","2,197.00",mountain
Merida Matts 6.5 V Mountain Bike Black/Green,599.00,487.00,mountain
Merida Matts 7.10 D Women's Mountain Bike Blue/Teal,729.00,598.00,mountain
Pedal Thrasher 3 Mountain Bike Black/Red,599.99,499.00,mountain
Pedal Ranger 3 Trigger Mountain Bike Black/Blue,469.99,348.00,mountain
Merida Big Seven 10 MD Mountain Bike Race Red/White,639.00,443.00,mountain
Silverback Stride Sport Mountain Bike Anthracite/Gloss Lime,999.00,797.00,mountain
Silverback Stride Comp Hardtail Mountain Bike Grey/Gloss Lime,"1,149.00",688.00,mountain
Merida Big Nine 20 Mountain Bike Matt Dark Silver/Silver,899.00,759.00,mountain
"Norco Storm 4 27.5"" Mountain Bike Black/Charcoal",849.00,744.00,mountain
Merida Big Seven 10 D Mountain Bike Anthracite Green/Silver,729.00,598.00,mountain
Pedal Colt 2 Hardtail Mountain Bike Blue,999.00,596.00,mountain
Pedal Titan 2 Electric Dual Suspension Mountain Bike Cosmic Black,"5,499.00","2,997.00",mountain
Cube Stereo ONE55 C:62 Race 29 Dual Suspension Mountain Bike Light Grey/Grey,"6,299.00","3,457.00",mountain
Cube Reaction Hybrid Pro 500 Electric Hardtail Mountain Bike Flash Grey 'n' Green,"5,299.00","3,699.00",mountain
"Norco Storm 5 27.5"" mountain Bike Silver/Black",799.00,668.00,mountain
Cube Stereo ONE44 C:62 Race Dual Suspension Mountain Bike Swamp Grey/Black,"6,999.00","3,997.00",mountain
Norco Torrent HT S2 Mountain Bike Green/Silver,"3,399.00","1,997.00",mountain
Merida One-Twenty RC 300 Dual Suspension Mountain Bike Teal-Blue/Lime,"2,399.00","1,499.00",mountain
Cube Reaction Hybrid Pro 500 Electric Hardtail Mountain Bike Flash White 'n' Black,"5,299.00","3,699.00",mountain
"Silverback Stride Comp Hardtail Mountain Bike 27.5"" Satin Metallic Grey","1,149.00",688.00,mountain
Cube Reaction Hybrid Race 625 Electric Hardtail Mountain Bike Grey 'n' Metal,"6,299.00","4,997.00",mountain
"VelectriX Ascent 29"" Electric Hardtail Mountain Bike Silver","2,799.00","1,649.00",mountain
"Atmos Gap 29"" Hardtail Mountain Bike Emerald Green",599.00,388.00,mountain
Merida One-Forty 400 Dual Suspension Mountain Bike Metallic Green/Black,"3,399.00","2,037.00",mountain
"Atmos Nerang 29"" Hardtail Mountain Bike Dark Silver",599.00,419.00,mountain
Cube Stereo Hybrid 120 Pro 625 Electric Mountain Bike Flash Grey 'n' Orange,"6,799.00","4,999.00",mountain
Merida Matts 6.5 V Women's Mountain Bike Glossy Teal Blue/Black,599.00,487.00,mountain
Norco Storm 1 29 Mountain Bike Red/Red,"1,399.00","1,038.00",mountain
"Silverback Stride Delight Hardtail Mountain Bike 29"" Satin Grey Charcoal",769.00,586.00,mountain
"Silverback Splash Delight Women's 27"" Hardtail Mountain Bike Blue/Royal Dark Blue",829.00,586.00,mountain
Merida One-Forty 700 Dual Suspension Mountain Bike Metallic Teal/Black,"4,599.00","3,299.00",mountain
Merida One-Sixty 500 Dual Suspension Mountain Bike Gunmetal Grey/White,"3,999.00","2,727.00",mountain
